statecounty,county,Year,Pollutant,Unit,Average concentration
27019,"Carver County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.4
27019,"Carver County, Minnesota",2015,Ozone,parts per billion,35
27019,"Carver County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.4
27019,"Carver County, Minnesota",2016,Ozone,parts per billion,34
27019,"Carver County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.9
27019,"Carver County, Minnesota",2017,Ozone,parts per billion,35
27019,"Carver County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.3
27019,"Carver County, Minnesota",2018,Ozone,parts per billion,36
27019,"Carver County, Minnesota",2018,PM2.5,micrograms per cubic meter,7.7
27019,"Carver County, Minnesota",2019,Ozone,parts per billion,35
27019,"Carver County, Minnesota",2019,PM2.5,micrograms per cubic meter,7.1
27019,"Carver County, Minnesota",2020,Ozone,parts per billion,34
27019,"Carver County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.9
27019,"Carver County, Minnesota",2021,Ozone,parts per billion,38
27019,"Carver County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.2
27021,"Cass County, Minnesota",2008,Ozone,parts per billion,36
27021,"Cass County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.5
27021,"Cass County, Minnesota",2009,Ozone,parts per billion,35
27021,"Cass County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.4
27021,"Cass County, Minnesota",2010,Ozone,parts per billion,37
27021,"Cass County, Minnesota",2010,PM2.5,micrograms per cubic meter,7.9
27021,"Cass County, Minnesota",2011,Ozone,parts per billion,36
27021,"Cass County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.5
27021,"Cass County, Minnesota",2012,Ozone,parts per billion,35
27021,"Cass County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.8
27021,"Cass County, Minnesota",2013,Ozone,parts per billion,36
27021,"Cass County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.4
27021,"Cass County, Minnesota",2014,Ozone,parts per billion,34
27021,"Cass County, Minnesota",2014,PM2.5,micrograms per cubic meter,6
27021,"Cass County, Minnesota",2015,Ozone,parts per billion,35
27021,"Cass County, Minnesota",2015,PM2.5,micrograms per cubic meter,6.5
27021,"Cass County, Minnesota",2016,Ozone,parts per billion,32
27021,"Cass County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.6
27021,"Cass County, Minnesota",2017,Ozone,parts per billion,34
27021,"Cass County, Minnesota",2017,PM2.5,micrograms per cubic meter,5.9
27021,"Cass County, Minnesota",2018,Ozone,parts per billion,35
27021,"Cass County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.2
27021,"Cass County, Minnesota",2019,Ozone,parts per billion,35
27021,"Cass County, Minnesota",2019,PM2.5,micrograms per cubic meter,5.1
27021,"Cass County, Minnesota",2020,Ozone,parts per billion,34
27021,"Cass County, Minnesota",2020,PM2.5,micrograms per cubic meter,4.8
27021,"Cass County, Minnesota",2021,Ozone,parts per billion,37
27021,"Cass County, Minnesota",2021,PM2.5,micrograms per cubic meter,9.6
27023,"Chippewa County, Minnesota",2008,Ozone,parts per billion,37
27023,"Chippewa County, Minnesota",2008,PM2.5,micrograms per cubic meter,9.3
27023,"Chippewa County, Minnesota",2009,Ozone,parts per billion,36
27023,"Chippewa County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.2
27023,"Chippewa County, Minnesota",2010,Ozone,parts per billion,37
27023,"Chippewa County, Minnesota",2010,PM2.5,micrograms per cubic meter,9
27023,"Chippewa County, Minnesota",2011,Ozone,parts per billion,37
27023,"Chippewa County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.6
27023,"Chippewa County, Minnesota",2012,Ozone,parts per billion,37
27023,"Chippewa County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.1
27023,"Chippewa County, Minnesota",2013,Ozone,parts per billion,38
27023,"Chippewa County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.3
27023,"Chippewa County, Minnesota",2014,Ozone,parts per billion,35
27023,"Chippewa County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.3
27023,"Chippewa County, Minnesota",2015,Ozone,parts per billion,35
27023,"Chippewa County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.3
27023,"Chippewa County, Minnesota",2016,Ozone,parts per billion,34
27023,"Chippewa County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.2
27023,"Chippewa County, Minnesota",2017,Ozone,parts per billion,35
27023,"Chippewa County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.2
27023,"Chippewa County, Minnesota",2018,Ozone,parts per billion,36
27023,"Chippewa County, Minnesota",2018,PM2.5,micrograms per cubic meter,6.7
27023,"Chippewa County, Minnesota",2019,Ozone,parts per billion,37
27023,"Chippewa County, Minnesota",2019,PM2.5,micrograms per cubic meter,6
27023,"Chippewa County, Minnesota",2020,Ozone,parts per billion,36
27023,"Chippewa County, Minnesota",2020,PM2.5,micrograms per cubic meter,5.7
27023,"Chippewa County, Minnesota",2021,Ozone,parts per billion,38
27023,"Chippewa County, Minnesota",2021,PM2.5,micrograms per cubic meter,8.3
27025,"Chisago County, Minnesota",2008,Ozone,parts per billion,36
27025,"Chisago County, Minnesota",2008,PM2.5,micrograms per cubic meter,9.8
27025,"Chisago County, Minnesota",2009,Ozone,parts per billion,35
27025,"Chisago County, Minnesota",2009,PM2.5,micrograms per cubic meter,9.4
27025,"Chisago County, Minnesota",2010,Ozone,parts per billion,37
27025,"Chisago County, Minnesota",2010,PM2.5,micrograms per cubic meter,8.7
27025,"Chisago County, Minnesota",2011,Ozone,parts per billion,37
27025,"Chisago County, Minnesota",2011,PM2.5,micrograms per cubic meter,9
27025,"Chisago County, Minnesota",2012,Ozone,parts per billion,36
27025,"Chisago County, Minnesota",2012,PM2.5,micrograms per cubic meter,9.3
27025,"Chisago County, Minnesota",2013,Ozone,parts per billion,36
27025,"Chisago County, Minnesota",2013,PM2.5,micrograms per cubic meter,8.8
27025,"Chisago County, Minnesota",2014,Ozone,parts per billion,34
27025,"Chisago County, Minnesota",2014,PM2.5,micrograms per cubic meter,7.2
27025,"Chisago County, Minnesota",2015,Ozone,parts per billion,35
27025,"Chisago County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.4
27025,"Chisago County, Minnesota",2016,Ozone,parts per billion,33
27025,"Chisago County, Minnesota",2016,PM2.5,micrograms per cubic meter,6.7
27025,"Chisago County, Minnesota",2017,Ozone,parts per billion,34
27025,"Chisago County, Minnesota",2017,PM2.5,micrograms per cubic meter,6.8
27025,"Chisago County, Minnesota",2018,Ozone,parts per billion,35
27025,"Chisago County, Minnesota",2018,PM2.5,micrograms per cubic meter,7.3
27025,"Chisago County, Minnesota",2019,Ozone,parts per billion,34
27025,"Chisago County, Minnesota",2019,PM2.5,micrograms per cubic meter,6.4
27025,"Chisago County, Minnesota",2020,Ozone,parts per billion,34
27025,"Chisago County, Minnesota",2020,PM2.5,micrograms per cubic meter,6.4
27025,"Chisago County, Minnesota",2021,Ozone,parts per billion,37
27025,"Chisago County, Minnesota",2021,PM2.5,micrograms per cubic meter,7.6
27027,"Clay County, Minnesota",2008,Ozone,parts per billion,36
27027,"Clay County, Minnesota",2008,PM2.5,micrograms per cubic meter,8.9
27027,"Clay County, Minnesota",2009,Ozone,parts per billion,34
27027,"Clay County, Minnesota",2009,PM2.5,micrograms per cubic meter,8.9
27027,"Clay County, Minnesota",2010,Ozone,parts per billion,36
27027,"Clay County, Minnesota",2010,PM2.5,micrograms per cubic meter,8.9
27027,"Clay County, Minnesota",2011,Ozone,parts per billion,36
27027,"Clay County, Minnesota",2011,PM2.5,micrograms per cubic meter,8.4
27027,"Clay County, Minnesota",2012,Ozone,parts per billion,36
27027,"Clay County, Minnesota",2012,PM2.5,micrograms per cubic meter,8.9
