Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
25049,Gas Recovery Systems Inc,55589,GRS Fall River,MA,Bristol,1,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,7,2000,5,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,N, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55589,GRS Fall River,MA,Bristol,2,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,7,2000,6,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,N, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55589,GRS Fall River,MA,Bristol,3,Landfill Gas,GT,,S,X,X,,,5.3,0.980,4.4,4.8,4.2,N, , ,RE,X,7,2000,1,2022,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,N, ,1H,,,,,,,,N,,
25049,Gas Recovery Systems Inc,55590,Chicopee Electric,MA,Hampden,1,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,7,1993,1,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55590,Chicopee Electric,MA,Hampden,2,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,7,1993,1,2012,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55595,GRS Lyon,MI,Washtenaw,1,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,5,1993,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55595,GRS Lyon,MI,Washtenaw,2,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,5,1993,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55595,GRS Lyon,MI,Washtenaw,3,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,5,1993,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55595,GRS Lyon,MI,Washtenaw,4,Landfill Gas,IC,,S,X,X,,,1.0,0.980,0.9,0.9,0.8,N, , ,RE,X,5,1993,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,1H,,,,,,,,,,
25049,Gas Recovery Systems Inc,55595,GRS Lyon,MI,Washtenaw,5,Landfill Gas,IC,,S,X,X,,,1.0, ,0.9,0.9, ,N, , ,RE,X,5,1993,12,2010,N,IPP Non-CHP,2,X,LFG,,,,,,,,,,,, ,,,,,,,,,,,
16764,City of San Diego,55602,North City - Landfill Gas Engines South,CA,San Diego,UNT1,Landfill Gas,IC,,S,X,X,,,0.9,0.800,0.9,0.9,0.7,N, , ,RE,X,3,1999,3,2022,N,IPP Non-CHP,2,X,LFG,NG,,,,,,,,,N,, ,1H,,,,,,,,Y,N,N
16764,City of San Diego,55602,North City - Landfill Gas Engines South,CA,San Diego,UNT2,Landfill Gas,IC,,S,X,X,,,0.9,0.800,0.9,0.9,0.7,N, , ,RE,X,3,1999,3,2022,N,IPP Non-CHP,2,X,LFG,NG,,,,,,,,,N,, ,1H,,,,,,,,Y,N,N
16764,City of San Diego,55602,North City - Landfill Gas Engines South,CA,San Diego,UNT3,Landfill Gas,IC,,S,X,X,,,0.9,0.800,0.9,0.9,0.7,N, , ,RE,X,3,1999,3,2022,N,IPP Non-CHP,2,X,LFG,NG,,,,,,,,,N,, ,1H,,,,,,,,Y,N,N
