_Outcome,_Years,_ZIP,Age group,"Age-adjusted rate per 10,000",Note
ED visits,2017-2021,55419,18+,35.3,
ED visits,2017-2021,55079,18+,36,
ED visits,2017-2021,55405,18+,36.2,
ED visits,2017-2021,55352,18+,36.5,
ED visits,2017-2021,55114,18+,38.7,
ED visits,2017-2021,55104,18+,39.1,
ED visits,2017-2021,55368,18+,39.1,
ED visits,2017-2021,55109,18+,39.2,
ED visits,2017-2021,55428,18+,41,
ED visits,2017-2021,55117,18+,42,
ED visits,2017-2021,55009,18+,42.5,
ED visits,2017-2021,55421,18+,42.5,
ED visits,2017-2021,55106,18+,46.2,
ED visits,2017-2021,55102,18+,46.8,
ED visits,2017-2021,55408,18+,49.1,
ED visits,2017-2021,55430,18+,50.7,
ED visits,2017-2021,55407,18+,53.5,
ED visits,2017-2021,55429,18+,54.8,
ED visits,2017-2021,55339,18+,56.2,Unstable rate due to small case count
ED visits,2017-2021,55130,18+,57.8,
ED visits,2017-2021,55403,18+,60.1,
ED visits,2017-2021,55089,18+,70.5,
ED visits,2017-2021,55103,18+,70.7,
ED visits,2017-2021,55107,18+,71.9,
ED visits,2017-2021,55101,18+,87.7,
ED visits,2017-2021,55412,18+,92,
ED visits,2017-2021,55404,18+,108.2,
ED visits,2017-2021,55415,18+,122.0,
ED visits,2017-2021,55454,18+,129.9,
ED visits,2017-2021,55411,18+,142.0,
ED visits,2017-2021,55402,18+,253.8,Unstable rate due to small case count
ED visits,2017-2021,55054,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55065,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55085,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55090,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55111,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55150,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55341,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55367,18+,*,*Data suppressed due to small population
ED visits,2017-2021,55455,18+,*,*Data suppressed due to small population
