"","...1","...2","ORGID","ORGTYPE","ORGNUMBER","SCHNUMBER","FORMID","GISNAME","MDENAME","ALTNAME","GISADDR","MDEADDR","PUBPRIV","LOCTYPE","GRADERANGE","CLASS","MAGNET","LOCDISTID","LOCDISTNAM","COUNTYCODE","COUNTYNAME","CREATEDT","UPDATEDT","FED_SCHNUM","WEB_URL","YEAR","geometry","within_1mile_pp","schools_in_ej","nearest_pp_id","nearest_pp_dist_m","nearest_pp_dist_mi","zip_code"
"92",92,92,2.40065e+11,"24","0065","000","0065-24","Capella University","Capella University",NA,"225 S 6th St, Minneapolis, MN 55402","225 South 6th Street 9th Floor, Minneapolis, MN 55402","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2012-08-22,2022-09-19,NA,"http://www.capella.edu","SY2024-25","c(478843.9263","4980336.4619)",TRUE,FALSE,10013,1239.08575850461,"0.769934108705811,""55402"""
"93",93,93,2.40066e+11,"24","0066","000","0066-24","Walden University","Walden University",NA,"100 Washington Ave S, Minneapolis, MN 55401","100 Washington Ave S, Minneapolis, MN 55401","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2012-08-22,2022-09-19,NA,"http://www.waldenu.edu","SY2024-25","c(479043.1264","4980901.4033)",TRUE,FALSE,1911,926.692711877332,"0.575821586412649,""55401"""
"94",94,94,2.40067e+11,"24","0067","000","0067-24","Academy College","Academy College",NA,"1600 W 82nd St, Bloomington, MN 55431","1600 West  82nd Street Suite 100, Bloomington, MN 55431","Private or Nonpublic","Head",NA,NA,"NO",1.0271e+10,"Bloomington",27053,"Hennepin",2016-09-20,2022-02-16,NA,"http://www.academycollege.edu","SY2024-25","c(476313.2213","4966971.7954)",FALSE,FALSE,1904,6354.05824870208,"3.94823856282829,""55431"""
"95",95,95,2.4007e+11,"24","0070","000","0070-24","Koehler-Dramm's Institute of Floristry","Koehler-Dramm's Institute of Floristry",NA,"2407 Hennepin Ave E, Minneapolis, MN 55413","2407 Hennepin Avenue East, Minneapolis, MN 55413","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-04-12,NA,"https://www.kdfloralinstitute.com/","SY2024-25","c(482762.4188","4982077.9915)",FALSE,TRUE,59197,2289.58401052628,"1.42268508241035,""55413"""
"96",96,96,2.40076e+11,"24","0076","000","0076-24","The Travel Academy","The Travel Academy",NA,"1299 Eagan Industrial Rd, Eagan, MN 55121","1299 Eagan Industrial Rd, Eagan, MN 55121","Private or Nonpublic","Head",NA,NA,"NO",1.0197e+10,"West St. Paul-Mendota Hts.-Eagan",27037,"Dakota",2016-09-20,2023-10-24,NA,"http://www.thetravelacademy.com","SY2024-25","c(487354.1481","4967168.3153)",FALSE,FALSE,59709,4651.80420182891,"2.8905043072495,""55121"""
"97",97,97,2.4008e+11,"24","0080","000","0080-24","Herzing University","Herzing University",NA,"435 Ford Rd, Saint Louis Park, MN 55426","435 Ford Rd, Saint Louis Park, MN 55426","Private or Nonpublic","Head",NA,NA,"NO",1.027e+10,"Hopkins",27053,"Hennepin",2016-09-20,2022-05-16,NA,"http://www.herzing.edu","SY2024-25","c(468081.4239","4980275.747)",FALSE,FALSE,10013,9851.17891185705,"6.12125399968748,""55426"""
"98",98,98,2.40081e+11,"24","0081","000","0081-24","Minnesota School of Bartending","Minnesota School of Bartending",NA,"2426 University Ave, Saint Paul, MN 55114","2426 University Avenue, Saint Paul, MN 55114","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2016-09-20,2022-04-05,NA,"https://mnschoolofbartending.com/","SY2024-25","c(484312.4518","4978991.5189)",FALSE,TRUE,59197,3673.00931253361,"2.28230784826924,""55114"""
"99",99,99,2.40086e+11,"24","0086","000","0086-24","Minnesota School of Barbering","Minnesota School of Barbering",NA,"3615 E Lake St, Minneapolis, MN 55406","3615 East Lake Street, Minneapolis, MN 55406","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-04-28,NA,"https://www.minnesotaschoolofbarbering.org/","SY2024-25","c(482659.4669","4977217.136)",FALSE,FALSE,59197,3765.17631471923,"2.33957791064612,""55406"""
"100",100,100,2.40088e+11,"24","0088","000","0088-24","Rasmussen University - Eagan Campus","Rasmussen University - Eagan Campus",NA,"1305 Corporate Center Dr, Eagan, MN 55121","1305 Corporate Center Dr, Eagan, MN 55121","Private or Nonpublic","Head",NA,NA,"NO",1.0197e+10,"West St. Paul-Mendota Hts.-Eagan",27037,"Dakota",2016-09-20,2023-10-24,NA,"http://www.rasmussen.edu/campus-locations/eagan-mn-campus.asp","SY2024-25","c(487006.5751","4967311.199)",FALSE,FALSE,59709,4281.93418595225,"2.66067716327951,""55121"""
"101",101,101,2.40102e+11,"24","0102","000","0102-24","Aveda Institute Minneapolis","Aveda Institute Minneapolis",NA,"400 Central Ave SE, Minneapolis, MN 55414","400 Central Avenue SE, Minneapolis, MN 55414","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-02-24,NA,"http://www.aveda.edu","SY2024-25","c(480013.3691","4981641.5459)",TRUE,FALSE,1911,621.549864018858,"0.386214139969713,""55414"""
